Character,Pinyin,Meaning,Type,Level,Phrase Chinese,Phrase Pinyin,Phrase Spanish,Suggested Image Path
爱,ài,Amar,Verbo,HSK 1,我爱我的妈妈。,Wǒ ài wǒ de māma.,Amo a mi madre.,images-chosen-chinese/爱.png
认识,rènshi,Conocer,Verbo,HSK 1,很高兴认识你。,Hěn gāoxìng rènshi nǐ.,Mucho gusto en conocerte.,images-chosen-chinese/认识.png
能,néng,Poder,Verbo,HSK 1,我今天不能去学校。,Wǒ jīntiān bù néng qù xuéxiào.,Hoy no puedo ir a la escuela.,images-chosen-chinese/能.png
谢谢,xièxie,Agradecer,Verbo,HSK 1,谢谢你帮我。,Xièxie nǐ bāng wǒ.,Gracias por ayudarme.,images-chosen-chinese/谢谢.png
再见,zàijiàn,Despedirse,Verbo,HSK 1,老师，再见！,"Lǎoshī, zàijiàn!","¡Adiós, profesor!",images-chosen-chinese/再见.png
儿子,érzi,Hijo,Sustantivo,HSK 1,他儿子今年八岁。,Tā érzi jīnnián bā suì.,Su hijo tiene ochos años este año.,images-chosen-chinese/儿子.png
女儿,nǚ'ér,Hija,Sustantivo,HSK 1,我有一个女儿。,Wǒ yǒu yī gè nǚ'ér.,Tengo una hija.,images-chosen-chinese/女儿.png
小姐,xiǎojiě,Señorita,Sustantivo,HSK 1,李小姐喜欢买衣服。,Lǐ xiǎojiě xǐhuan mǎi yīfu.,A la señorita Li le gusta comprar ropa.,images-chosen-chinese/小姐.png
学校,xuéxiào,Escuela,Sustantivo,HSK 1,我去学校看书。,Wǒ qù xuéxiào kàn shū.,Voy a la escuela a leer libros.,images-chosen-chinese/学校.png
饭馆,fànguǎn,Restaurante,Sustantivo,HSK 1,这家饭馆的菜很好吃。,Zhè jiā fànguǎn de cài hěn hǎochī.,La comida de este restaurante está riquísima.,images-chosen-chinese/饭馆.png
火车站,huǒchēzhàn,Estación,Sustantivo,HSK 1,我在火车站等他。,Wǒ zài huǒchēzhàn děng tā.,Le estoy esperando en la estación de tren.,images-chosen-chinese/火车站.png
北京,Běijīng,Pekín,Sustantivo,HSK 1,北京的天气很冷。,Běijīng de tiānqì hěn lěng.,El tiempo en Pekín es muy frío.,images-chosen-chinese/北京.png
上,shàng,Encima,Sustantivo,HSK 1,桌子上有电脑。,Zhuōzi shàng yǒu diànnǎo.,Hay un ordenador sobre la mesa.,images-chosen-chinese/上.png
后面,hòumiàn,Detrás,Sustantivo,HSK 1,我家后面有一个饭馆。,Wǒ jiā hòumiàn yǒu yī gè fànguǎn.,Detrás de mi casa hay un restaurante.,images-chosen-chinese/后面.png
里面,lǐmiàn,Dentro,Sustantivo,HSK 1,杯子里面没有水。,Bēizi lǐmiàn méiyǒu shuǐ.,No hay agua dentro de la taza.,images-chosen-chinese/里面.png
星期,xīngqī,Semana,Sustantivo,HSK 1,一个星期有七天。,Yī gè xīngqī yǒu qī tiān.,Una semana tiene siete días.,images-chosen-chinese/星期.png
点,diǎn,Hora,Sustantivo,HSK 1,现在是上午九点。,Xiànzài shì shàngwǔ jiǔ diǎn.,Ahora son las nueve de la mañana.,images-chosen-chinese/点.png
